time,open,high,low,close,Volume
1771196400,6852,6859.75,6846.5,6848,3783
1771196700,6848.25,6848.75,6844,6847.75,2220
1771197000,6847.75,6853.75,6847.25,6853.75,1899
1771197300,6853.5,6857.5,6852.75,6856.75,2467
1771197600,6857.25,6857.5,6853.75,6856.25,1420
1771197900,6856.5,6858.75,6856,6856.5,1043
1771198200,6856.5,6859.25,6853.5,6854.25,1907
1771198500,6854.25,6857,6852.5,6853.25,1361
1771198800,6853.5,6857.25,6853.5,6856.75,913
1771199100,6856.75,6857,6854,6855,650
1771199400,6855,6857,6851,6853.75,1192
1771199700,6853.75,6861.5,6851.75,6860.75,2677
1771200000,6860.5,6861.75,6855.75,6857.5,3165
1771200300,6857.5,6863.5,6856.25,6862.5,1337
1771200600,6862.5,6864,6861.25,6862.25,1149
1771200900,6862,6863.5,6861.5,6861.75,702
1771201200,6862,6862.5,6861,6861.5,750
1771201500,6861.5,6864,6860.75,6863.5,1038
1771201800,6863,6863.75,6862.25,6863.5,400
1771202100,6863.25,6864.75,6861.5,6862.75,657
1771202400,6863,6863.75,6861.75,6861.75,320
1771202700,6862,6864,6861.5,6863,647
1771203000,6863,6865.25,6862.5,6864.5,706
1771203300,6864.5,6864.75,6861.5,6863.25,700
1771203600,6863,6864,6861,6863.5,840
1771203900,6863,6865.75,6863,6864,886
1771204200,6864,6865,6862.25,6862.5,812
1771204500,6862.5,6863.25,6862,6863,494
1771204800,6863,6863.5,6862,6863.5,274
1771205100,6863.5,6864,6862.5,6862.5,470
1771205400,6862.75,6863.75,6862.25,6862.75,398
1771205700,6862.75,6863,6861.75,6862.25,412
1771206000,6862.25,6864.5,6861.5,6863.75,590
1771206300,6863.75,6866.75,6863,6865.75,701
1771206600,6865.5,6868,6864.25,6868,1003
1771206900,6867.75,6870.5,6867.5,6869,1269
1771207200,6868.75,6871,6868,6870.75,696
1771207500,6871,6871.5,6865.5,6865.5,1051
1771207800,6865.75,6865.75,6863.5,6865.25,1219
1771208100,6865,6866.5,6864.5,6865.25,709
1771208400,6865.25,6867,6864.75,6866.5,561
1771208700,6866.75,6866.75,6864.25,6864.75,542
1771209000,6864.75,6865.75,6864,6864.5,406
1771209300,6864.5,6865.5,6864,6864.75,413
1771209600,6864.75,6865.5,6863.75,6864.75,249
1771209900,6864.5,6865.25,6863.75,6864,253
1771210200,6864,6864,6862.25,6862.5,684
1771210500,6862.5,6863.5,6862,6862.75,538
1771210800,6863,6863.75,6861.75,6862.25,532
1771211100,6862,6863.25,6862,6863,295
1771211400,6863,6863.25,6862.25,6862.25,229
1771211700,6862.25,6863.5,6862.25,6862.75,210
1771212000,6862.75,6864,6862.25,6863,458
1771212300,6863,6863.25,6859,6859.5,1370
1771212600,6859.75,6860.5,6859,6860,712
1771212900,6860,6860.75,6859.25,6860,317
1771213200,6860.25,6860.25,6858.25,6859.5,519
1771213500,6859.75,6860,6858.75,6859.5,363
1771213800,6859.75,6862,6859.25,6861,756
1771214100,6861,6862.25,6861,6861.75,494
1771214400,6861.75,6865.5,6861.75,6864.75,929
1771214700,6864.75,6865,6861.5,6861.75,809
1771215000,6861.75,6863.25,6861.5,6862.75,607
1771215300,6863,6863,6861.25,6862.5,278
1771215600,6862.25,6862.5,6860.75,6862.5,550
1771215900,6861.75,6864.5,6861.5,6863.5,507
1771216200,6863.5,6864.5,6863,6863.5,405
1771216500,6863.25,6863.75,6862.25,6862.75,277
1771216800,6862.75,6863,6861.25,6862,384
1771217100,6862,6862,6860.5,6861.75,322
1771217400,6861.5,6863.75,6861.25,6863,308
1771217700,6862.75,6863,6861.5,6861.75,188
1771218000,6862,6862,6860.25,6860.5,249
1771218300,6860.5,6861.5,6859.5,6861.5,404
1771218600,6861,6862.5,6860.25,6862.25,324
1771218900,6862.25,6863,6860.5,6862.25,626
1771219200,6861.75,6862.75,6861.5,6862.25,159
1771219500,6862.5,6863,6862.25,6863,192
1771219800,6863,6863,6861.25,6861.25,173
1771220100,6861,6861.5,6859.25,6859.25,399
1771220400,6859.25,6860,6856.25,6856.75,855
1771220700,6856.75,6858.25,6856.75,6857.25,471
1771221000,6857,6858.5,6857,6858.25,247
1771221300,6858.25,6859.75,6857.75,6859,344
1771221600,6858.75,6859.5,6858,6859,508
1771221900,6858.75,6860.25,6858.25,6858.5,514
1771222200,6858.25,6859.25,6858,6858.75,198
1771222500,6859,6859.25,6857.75,6857.75,353
1771222800,6857.75,6858.75,6856.5,6858.5,510
1771223100,6858.5,6861.25,6857.5,6860.5,604
1771223400,6860,6861.25,6858,6858.25,570
1771223700,6858.25,6860.5,6857.75,6860.25,312
1771224000,6860.25,6862.5,6860,6862.25,543
1771224300,6862.25,6863.75,6861.5,6863,532
1771224600,6863.25,6863.5,6862,6862.75,333
1771224900,6863,6863.5,6862.5,6862.75,251
1771225200,6862.75,6867.25,6862.5,6867.25,1163
1771225500,6867.25,6868.5,6866.5,6868.5,692
1771225800,6868,6869.25,6867.25,6869,588
1771226100,6869,6869.25,6867,6867.25,426
1771226400,6867.5,6868.25,6866.25,6867.75,431
1771226700,6868,6870,6867.75,6868,858
1771227000,6868.25,6870.5,6867.25,6870,526
1771227300,6870.25,6873,6870.25,6871.5,1063
1771227600,6871.5,6872.25,6870.75,6872,282
1771227900,6872.25,6872.75,6870.5,6871.75,574
1771228200,6871.75,6872,6871,6871.25,226
1771228500,6871.25,6871.25,6869.5,6870.75,545
1771228800,6871,6872,6866.5,6870.75,1547
1771229100,6870.5,6875.75,6869.75,6875.75,1421
1771229400,6875.5,6876,6871.5,6873.25,1090
1771229700,6873,6876.75,6872.5,6876.25,780
1771230000,6876.25,6878.5,6873,6874,1661
1771230300,6874,6874.5,6870.5,6872.25,797
1771230600,6872,6874,6870.25,6871.5,705
1771230900,6871.25,6871.25,6868,6870,909
1771231200,6870.25,6874.25,6869.5,6874.25,613
1771231500,6874.25,6880,6873.5,6876,2071
1771231800,6876.25,6878.25,6874.25,6877.25,726
1771232100,6877.25,6878.5,6876.5,6877.75,366
1771232400,6878.25,6880.5,6876.75,6879.75,1121
1771232700,6879.75,6881.25,6879,6880.25,815
1771233000,6880.25,6881,6879,6880.25,505
1771233300,6880.25,6880.75,6878.75,6880.75,387
1771233600,6880.75,6880.75,6878.75,6879.25,442
1771233900,6879.5,6884.75,6879.5,6883.25,1851
1771234200,6883.25,6884.75,6882.75,6884.5,737
1771234500,6884.25,6885.5,6883.5,6884.25,849
1771234800,6884,6884.25,6883,6883.25,380
1771235100,6883.5,6885,6882.75,6884.5,529
1771235400,6884.5,6885,6884,6884,317
1771235700,6884.25,6884.75,6883,6883.5,481
