time,open,high,low,close,Volume
1771196400,5053.8,5079,5028,5033,4663
1771196700,5033.7,5042,5025.3,5042,2555
1771197000,5041,5044.1,5031.6,5040.9,1505
1771197300,5041.6,5051.7,5040,5045.2,2355
1771197600,5044.6,5049.8,5041,5044.8,1085
1771197900,5045.4,5050.7,5045.1,5047.7,825
1771198200,5047.7,5050.6,5045.9,5048.3,580
1771198500,5048.3,5050,5040.8,5044.9,644
1771198800,5044.9,5051.4,5036.2,5038.7,1212
1771199100,5038.7,5040,5031.9,5033.5,1088
1771199400,5034.2,5039.6,5032.1,5037.8,911
1771199700,5037.5,5040.8,5036,5038.9,640
1771200000,5039.5,5040.9,5017.6,5027.2,2742
1771200300,5027.3,5036,5026.7,5034.3,963
1771200600,5034,5037.5,5030.8,5036.3,651
1771200900,5035.7,5040,5034.1,5036.7,666
1771201200,5036.7,5038,5031,5033.8,693
1771201500,5033.5,5033.5,5027.2,5030.8,862
1771201800,5031,5033.9,5027.6,5029.2,704
1771202100,5029,5034.1,5027.8,5033.5,608
1771202400,5032.8,5034,5032.1,5033.3,240
1771202700,5033,5038,5029.6,5038,544
1771203000,5038.1,5043.4,5036.1,5039.5,950
1771203300,5039.7,5042,5034,5034.7,572
1771203600,5034.5,5037,5025.9,5035.7,1760
1771203900,5036.2,5041.6,5035.8,5041.2,998
1771204200,5040.8,5042.9,5036,5042.1,1111
1771204500,5042,5048.7,5041.5,5048,1180
1771204800,5048,5052,5043.7,5046.6,1502
1771205100,5046.7,5050.9,5046,5048.3,822
1771205400,5048.6,5050.6,5045.4,5048.2,824
1771205700,5048.2,5049.6,5045.7,5046.9,480
1771206000,5047,5049.9,5046.5,5049.7,336
1771206300,5049.4,5050,5046.7,5047.7,443
1771206600,5047.4,5047.6,5044,5045.5,758
1771206900,5045.7,5048.4,5044.7,5047.8,433
1771207200,5047.9,5051,5047.8,5048.1,742
1771207500,5048.1,5048.1,5041,5042.9,1112
1771207800,5042.6,5043.8,5039,5040.8,995
1771208100,5041.4,5044.9,5040.7,5042.3,626
1771208400,5042.6,5043.9,5041.5,5042.5,341
1771208700,5042.8,5043,5037,5038.4,828
1771209000,5038.4,5041,5037.4,5038.4,797
1771209300,5038.1,5038.5,5020.5,5028.2,2918
1771209600,5028.3,5029.7,5021.5,5021.7,1420
1771209900,5021.6,5022.3,5013.9,5018.2,2546
1771210200,5018.2,5018.5,5011.3,5014.1,1469
1771210500,5014.2,5016.7,5012.1,5014.3,1148
1771210800,5014.1,5018.3,5008.1,5016,2146
1771211100,5015.7,5019.9,5005.9,5011.3,1943
1771211400,5011.3,5017.4,5010.7,5017,986
1771211700,5016.8,5018.5,5015.2,5016.7,622
1771212000,5016.7,5017.7,5013.1,5016.3,847
1771212300,5016.5,5018.1,5014.1,5014.5,558
1771212600,5014.5,5016.7,5012,5014.6,702
1771212900,5014.8,5015.8,5007.3,5010.5,941
1771213200,5010.5,5014,5008.7,5010.5,903
1771213500,5010.3,5012.9,4988.9,5004.2,3061
1771213800,5004.6,5013.1,5003.2,5010.4,1780
1771214100,5010.5,5011.8,5006.2,5006.3,710
1771214400,5006.3,5011.7,5005.2,5007.3,731
1771214700,5006.9,5006.9,4994,4996.5,2056
1771215000,4996.3,5000,4988.8,4995,1688
1771215300,4994.8,4996.4,4991.4,4993.7,688
1771215600,4993.8,4998.7,4991.1,4996.6,891
1771215900,4996.6,4999.5,4995.2,4995.5,638
1771216200,4995.1,4997.1,4991.9,4992.7,859
1771216500,4992.7,4995,4991,4993.3,569
1771216800,4993.3,4996.9,4991.2,4994.9,708
1771217100,4994.6,4998.6,4994.5,4997.2,485
1771217400,4997.2,4999,4995.1,4998.1,617
1771217700,4998.1,4998.5,4993,4996.6,596
1771218000,4996.3,4996.8,4981.8,4996.4,1825
1771218300,4996.5,5003.9,4995.6,5002.4,1968
1771218600,5002.6,5004.9,4999,5002.6,804
1771218900,5002.7,5006.8,5002.2,5005.7,754
1771219200,5005.7,5006.4,5003,5005.7,525
1771219500,5005.8,5008,5004,5005.4,626
1771219800,5005.2,5009,5002.6,5004.3,733
1771220100,5004.3,5005.6,5002.8,5003.5,360
1771220400,5003.7,5005.5,5001.3,5005.1,403
